2016/06/14 08:18:41:045  [Log] Creating new log file: log-2016-06-14-1.txt
2016/06/14 08:18:41:080  [Log] Scheduled next rollover for 2016-06-14 16:00:01 +0000
2016/06/14 08:18:41:081  HipChat/4.0.10.645 (OS X Version 10.11 (Build 15A284)) Web/4.21.8 (2016.05.23.144822-e7f2916) BundleID/com.hipchat.HipChat
2016/06/14 08:18:41:081  [App] Seconds since last shutdown: 55134.541
2016/06/14 08:18:41:081  [Video] Installing AddLive plugin...
2016/06/14 08:18:41:082  [Video] AddLive plugin is up to date (v3.0.6.3), nothing to do here!
2016/06/14 08:18:41:090  [375587_3248852@chat.hipchat.com] [AccountContext] Current state updated: Authenticating
2016/06/14 08:18:41:090  [375587_3248852@chat.hipchat.com] [Auth] Refreshing account...
2016/06/14 08:18:41:090  [375587_3248852@chat.hipchat.com] [Auth] Refreshing access token...
2016/06/14 08:18:41:091  [375587_3248852@chat.hipchat.com] [Auth] Issuing access token request to https://api.hipchat.com/v2/oauth/token with body:
[grant_type: refresh_token, client_name: com.atlassian.hipchat.osx-clients, refresh_token: J2AChOQt..., user_id: 3248852, group_id: 375587]
2016/06/14 08:18:41:121  [375587_3248852@chat.hipchat.com] [AccountView] onAuthenticating() called
2016/06/14 08:18:41:121  [375587_3248852@chat.hipchat.com] [AccountView] Destroying chat view controller
2016/06/14 08:18:41:160  [Network] Reachability changed with status: 2
2016/06/14 08:18:41:160  [Network] Network connected. We'll do it live!
2016/06/14 08:18:41:161  [UpdateManager] Setting updater base URL for updates: https://www.hipchat.com/release_notes/appcast/mac?version=645&bundle=com.hipchat.HipChat&includeMinor=0
2016/06/14 08:18:41:163  [375587_3248852@chat.hipchat.com] [UpdateManager] Adding internal auth params to update URL: user=3248852, token=9YAkbV...
2016/06/14 08:18:41:181  [UpdateManager] Setting updater base URL for updates: https://www.hipchat.com/release_notes/appcast/mac?version=645&bundle=com.hipchat.HipChat&includeMinor=0
2016/06/14 08:18:41:183  [375587_3248852@chat.hipchat.com] [UpdateManager] Adding internal auth params to update URL: user=3248852, token=9YAkbV...
2016/06/14 08:18:41:183  [UpdateManager] Setting updater base URL for updates: https://www.hipchat.com/release_notes/appcast/mac?version=645&bundle=com.hipchat.HipChat&includeMinor=0
2016/06/14 08:18:41:186  [375587_3248852@chat.hipchat.com] [UpdateManager] Adding internal auth params to update URL: user=3248852, token=9YAkbV...
2016/06/14 08:18:42:489  [375587_3248852@chat.hipchat.com] [Auth] Access token acquired:
[expires_in: 3599, access_token: w2Ya3RIw..., group_name: TORO, token_type: bearer, refresh_token: J2AChOQt..., group_id: 375587, scope: admin_room manage_rooms send_message view_group view_messages view_room]
2016/06/14 08:18:42:495  [375587_3248852@chat.hipchat.com] [AccountContext] Current state updated: Authenticated
2016/06/14 08:18:42:496  [375587_3248852@chat.hipchat.com] [AccountView] onAuthenticated() called
2016/06/14 08:18:42:496  [375587_3248852@chat.hipchat.com] [AccountView] Destroying chat view controller
